,Adrenal gland,Bladder,Bronchus and lung,"Connective, subcutaneous and other soft tissues",Esophagus,Eye and adnexa,Floor of mouth,"Heart, mediastinum, and pleura",Kidney,Larynx,Liver and intrahepatic bile ducts,"Other and ill-defined sites in lip, oral cavity and pharynx",Other and unspecified parts of tongue,Pancreas,Rectosigmoid junction,Skin,Stomach,Thyroid gland
0,"(0.499199112349362, 'ENSG00000234349.1')","(0.6928224543935793, 'ENSG00000119787.12')","(0.7420615186850446, 'ENSG00000264522.4')","(1.0, 'ENSG00000000003.13')","(0.4523096181905868, 'ENSG00000215440.10')","(0.43389390772081377, 'ENSG00000240695.1')","(0.4206786298867277, 'ENSG00000261393.1')","(0.4290471870436116, 'ENSG00000228235.1')","(0.9792033353605655, 'ENSG00000230676.1')","(0.40294046857507126, 'ENSG00000260804.3')","(0.7145138260430792, 'ENSG00000149782.10')","(0.5933464944981178, 'ENSG00000180008.8')","(0.7436046300319739, 'ENSG00000252774.1')","(0.07516778512521452, 'ENSG00000227116.1')","(0.478861165919269, 'ENSG00000104221.11')","(0.6692631349504348, 'ENSG00000198075.8')","(0.6737804529891958, 'ENSG00000165591.6')","(0.9419172569371372, 'ENSG00000204852.14')"
1,"(0.5028727655751523, 'ENSG00000206150.3')","(0.6996715695413566, 'ENSG00000199698.1')","(0.7466363413832283, 'ENSG00000225444.1')","(1.0, 'ENSG00000000005.5')","(0.4591822674369599, 'ENSG00000231095.1')","(0.4355454111753616, 'ENSG00000254757.1')","(0.42873561635471785, 'ENSG00000258515.1')","(0.43450265246793446, 'ENSG00000009413.14')","(0.9864843620274921, 'ENSG00000279123.1')","(0.4487583344437527, 'ENSG00000168306.11')","(0.7304125207981919, 'ENSG00000233286.1')","(0.6101065894798673, 'ENSG00000278879.1')","(0.7464846078286346, 'ENSG00000227312.2')","(0.07683297932768891, 'ENSG00000254873.1')","(0.48089565449589317, 'ENSG00000204456.4')","(0.6788747853771102, 'ENSG00000227629.1')","(0.6883894513050026, 'ENSG00000274266.1')","(0.9516114986928461, 'ENSG00000280861.1')"
2,"(0.5033245263517482, 'ENSG00000270020.1')","(0.7014198827412615, 'ENSG00000235565.1')","(0.7478923615460215, 'ENSG00000258943.1')","(1.0, 'ENSG00000000419.11')","(0.46591195496775734, 'ENSG00000226328.5')","(0.443531271213542, 'ENSG00000111728.9')","(0.43361490880992465, 'ENSG00000262481.4')","(0.4370018076488631, 'ENSG00000280139.1')","(0.9880440307393805, 'ENSG00000259316.6')","(0.4498998673119956, 'ENSG00000274159.1')","(0.7334398714467564, 'ENSG00000275318.1')","(0.6329655221748598, 'ENSG00000140575.11')","(0.7484825184763394, 'ENSG00000257009.1')","(0.07773945166883595, 'ENSG00000252577.1')","(0.48089565449589317, 'ENSG00000269987.1')","(0.6833246221367236, 'ENSG00000214930.2')","(0.6899889783901443, 'ENSG00000071677.1')","(0.954423934441393, 'ENSG00000231029.2')"
3,"(0.5084938295965208, 'ENSG00000153563.14')","(0.7051038442699645, 'ENSG00000140691.15')","(0.750794521597222, 'ENSG00000164185.4')","(1.0, 'ENSG00000000457.12')","(0.47262901932171797, 'ENSG00000249829.2')","(0.444045687895961, 'ENSG00000180104.14')","(0.43402203185582855, 'ENSG00000104915.13')","(0.44710346612984214, 'ENSG00000229571.5')","(0.9901715537211818, 'ENSG00000223914.1')","(0.45173671113863795, 'ENSG00000228121.1')","(0.7361304320621087, 'ENSG00000167005.12')","(0.6398521535263727, 'ENSG00000135966.11')","(0.7501301063669267, 'ENSG00000237181.1')","(0.077983808852663, 'ENSG00000244437.1')","(0.49628560084030915, 'ENSG00000231031.5')","(0.6837307645894722, 'ENSG00000239115.1')","(0.6942705307266168, 'ENSG00000163961.4')","(0.9548803080200288, 'ENSG00000010327.9')"
4,"(0.5121144923144099, 'ENSG00000143578.14')","(0.7056557479378237, 'ENSG00000241520.1')","(0.7512474284516794, 'ENSG00000254119.4')","(1.0, 'ENSG00000000460.15')","(0.475586216727279, 'ENSG00000138381.8')","(0.44504038224441483, 'ENSG00000260673.1')","(0.44402143166939495, 'ENSG00000240371.1')","(0.45104622604483935, 'ENSG00000168010.9')","(0.9911985176019573, 'ENSG00000006634.6')","(0.4519551256800569, 'ENSG00000213495.3')","(0.7364154732395218, 'ENSG00000280254.1')","(0.6428589498467621, 'ENSG00000132436.10')","(0.7524291329699798, 'ENSG00000128596.15')","(0.07883996732956432, 'ENSG00000270903.1')","(0.5210280603450967, 'ENSG00000237575.4')","(0.6861400182988385, 'ENSG00000198429.8')","(0.6954406534143185, 'ENSG00000004864.12')","(0.9606331245590068, 'ENSG00000279630.1')"
5,"(0.52693742919423, 'ENSG00000106278.10')","(0.7078982378605462, 'ENSG00000243584.1')","(0.752209000238565, 'ENSG00000112273.6')","(1.0, 'ENSG00000000938.11')","(0.4765346547590226, 'ENSG00000251306.1')","(0.4468097713305108, 'ENSG00000277423.1')","(0.444358076218401, 'ENSG00000261496.1')","(0.45108866449202106, 'ENSG00000189419.6')","(0.9913143508716613, 'ENSG00000117533.13')","(0.45455199804641777, 'ENSG00000184986.9')","(0.7378415327186935, 'ENSG00000135116.8')","(0.6467500034413621, 'ENSG00000231074.7')","(0.7527254248581252, 'ENSG00000267372.2')","(0.08246902219259294, 'ENSG00000240441.1')","(0.5231334811052095, 'ENSG00000227629.1')","(0.6863372515460857, 'ENSG00000266105.1')","(0.7014818509816192, 'ENSG00000250711.1')","(0.9633635202003608, 'ENSG00000270917.1')"
6,"(0.5308220629990085, 'ENSG00000277527.1')","(0.7096051523991542, 'ENSG00000105738.9')","(0.7535861477043984, 'ENSG00000106404.12')","(1.0, 'ENSG00000000971.14')","(0.4917095091265805, 'ENSG00000187837.3')","(0.4482758620689655, 'ENSG00000203635.2')","(0.4455861404341574, 'ENSG00000248546.3')","(0.46773099206772656, 'ENSG00000146233.6')","(0.9913224812020002, 'ENSG00000269925.1')","(0.45509794719161895, 'ENSG00000207295.1')","(0.7418348963712236, 'ENSG00000227799.1')","(0.649360962606595, 'ENSG00000226049.3')","(0.7565553342393105, 'ENSG00000272277.1')","(0.08747340535419383, 'ENSG00000177173.5')","(0.5450416369671012, 'ENSG00000270591.1')","(0.6863609091365029, 'ENSG00000215906.7')","(0.7015048216822924, 'ENSG00000261740.4')","(0.9644510485565846, 'ENSG00000126749.13')"
7,"(0.5332885656142234, 'ENSG00000271330.1')","(0.7108550404243634, 'ENSG00000280317.1')","(0.7548444445568219, 'ENSG00000230115.1')","(1.0, 'ENSG00000001036.12')","(0.4926199994740084, 'ENSG00000238232.1')","(0.45015467544436, 'ENSG00000206073.9')","(0.4485501073373008, 'ENSG00000235050.5')","(0.4730878217407834, 'ENSG00000278910.2')","(0.9914555193214967, 'ENSG00000277731.1')","(0.4559600733985927, 'ENSG00000131943.16')","(0.743790079700879, 'ENSG00000168393.11')","(0.6601265600372244, 'ENSG00000132964.10')","(0.757498122477456, 'ENSG00000256185.1')","(0.1137745356851734, 'ENSG00000151164.17')","(0.5502836043568046, 'ENSG00000275342.3')","(0.6868379669241005, 'ENSG00000236480.1')","(0.7016134777293713, 'ENSG00000237365.1')","(0.9647227841411974, 'ENSG00000212314.2')"
8,"(0.5406450929472522, 'ENSG00000271919.1')","(0.7110389443546827, 'ENSG00000231954.1')","(0.7553625064061001, 'ENSG00000248787.1')","(1.0, 'ENSG00000001084.9')","(0.49329298619150913, 'ENSG00000259768.5')","(0.45164880452023554, 'ENSG00000199730.1')","(0.44957535279514144, 'ENSG00000240531.1')","(0.47454040557885735, 'ENSG00000273500.1')","(0.9926591060213794, 'ENSG00000217686.2')","(0.45619027962484643, 'ENSG00000132475.7')","(0.7440684729476229, 'ENSG00000249333.1')","(0.6611537073586967, 'ENSG00000125885.12')","(0.7587173191083093, 'ENSG00000214226.7')","(0.12141154385536711, 'ENSG00000109501.12')","(0.5669283721724441, 'ENSG00000134339.7')","(0.6878119163379205, 'ENSG00000241269.1')","(0.7034408027130723, 'ENSG00000183010.15')","(0.9649239938526663, 'ENSG00000060339.12')"
9,"(0.540879397708183, 'ENSG00000258823.1')","(0.7111038131790189, 'ENSG00000259962.1')","(0.7555049526661709, 'ENSG00000268742.1')","(1.0, 'ENSG00000001167.13')","(0.49601675794538996, 'ENSG00000168439.15')","(0.4519837952422824, 'ENSG00000224729.5')","(0.45140705335867315, 'ENSG00000243721.1')","(0.47584768643417147, 'ENSG00000246022.2')","(0.9928947325419704, 'ENSG00000219529.2')","(0.45924872328759925, 'ENSG00000235612.1')","(0.7443380996637561, 'ENSG00000162607.11')","(0.6621334758568035, 'ENSG00000140829.10')","(0.7613459234055008, 'ENSG00000266621.1')","(0.1504532451731033, 'ENSG00000267054.1')","(0.5682830191027585, 'ENSG00000223921.1')","(0.6896615126916221, 'ENSG00000129351.16')","(0.7034795659215739, 'ENSG00000232485.2')","(0.9669145332145166, 'ENSG00000231873.1')"
