,Adrenal gland,Bladder,Bronchus and lung,Esophagus,Eye and adnexa,Floor of mouth,"Heart, mediastinum, and pleura",Kidney,Larynx,Liver and intrahepatic bile ducts,"Other and ill-defined sites in lip, oral cavity and pharynx",Other and unspecified parts of tongue,Pancreas,Rectosigmoid junction,Skin,Stomach,Thyroid gland
0,"(0.4472135954999579, 'ENSG00000114346.12')","(0.7540739028638984, 'ENSG00000200830.1')","(0.8841640298870067, 'ENSG00000186132.13')","(0.5270462766947299, 'ENSG00000150316.10')","(0.3872983346207417, 'ENSG00000232065.1')","(0.0, 'ENSG00000007202.13')","(0.30151134457776363, 'ENSG00000279141.2')","(1.203735681882337, 'ENSG00000179766.16')","(0.0, 'ENSG00000207318.1')","(0.8078561622884166, 'ENSG00000244485.1')","(0.3429971702850177, 'ENSG00000090061.16')","(0.6324555320336759, 'ENSG00000252852.1')","(0.0, 'ENSG00000140983.12')","(0.4714045207910317, 'ENSG00000137265.13')","(0.726843784311631, 'ENSG00000107816.16')","(0.7149203529842405, 'ENSG00000271981.1')","(1.0, 'ENSG00000123009.4')"
1,"(0.4472135954999579, 'ENSG00000172493.19')","(0.7669649888473704, 'ENSG00000162894.10')","(0.8953140798553889, 'ENSG00000267607.1')","(0.5270462766947299, 'ENSG00000174130.11')","(0.3872983346207417, 'ENSG00000253333.1')","(0.0, 'ENSG00000058085.13')","(0.3692744729379982, 'ENSG00000176476.7')","(1.2054298919845134, 'ENSG00000123136.13')","(0.0, 'ENSG00000226963.1')","(0.8522416262267903, 'ENSG00000118193.10')","(0.3429971702850177, 'ENSG00000211717.3')","(0.6582805886043833, 'ENSG00000235525.1')","(0.0, 'ENSG00000199248.1')","(0.4714045207910317, 'ENSG00000141401.10')","(0.7523547938632787, 'ENSG00000164258.10')","(0.7601169500660919, 'ENSG00000101210.9')","(1.0392304845413265, 'ENSG00000221629.1')"
2,"(0.4472135954999579, 'ENSG00000222121.1')","(0.773329952663334, 'ENSG00000129862.6')","(0.9128709291752769, 'ENSG00000271624.1')","(0.5270462766947299, 'ENSG00000177590.7')","(0.4472135954999579, 'ENSG00000092969.10')","(0.0, 'ENSG00000062096.13')","(0.4264014327112209, 'ENSG00000213735.2')","(1.2138654734998857, 'ENSG00000148848.13')","(0.0, 'ENSG00000254629.1')","(0.8522416262267903, 'ENSG00000197263.3')","(0.3429971702850177, 'ENSG00000244998.1')","(0.6582805886043833, 'ENSG00000261764.1')","(0.0, 'ENSG00000206979.1')","(0.4714045207910317, 'ENSG00000201201.1')","(0.7890763647670371, 'ENSG00000164169.11')","(0.7673909622147559, 'ENSG00000184634.14')","(1.065833007557938, 'ENSG00000269177.1')"
3,"(0.4472135954999579, 'ENSG00000223672.2')","(0.773329952663334, 'ENSG00000163399.14')","(0.9215239276363633, 'ENSG00000099804.7')","(0.5270462766947299, 'ENSG00000188101.5')","(0.4472135954999579, 'ENSG00000126549.8')","(0.0, 'ENSG00000091317.7')","(0.4264014327112209, 'ENSG00000228482.1')","(1.2172233373794739, 'ENSG00000129810.13')","(0.0, 'ENSG00000261039.2')","(0.8765962882830265, 'ENSG00000127314.16')","(0.3429971702850177, 'ENSG00000276444.1')","(0.6831300510639732, 'ENSG00000256234.1')","(0.0, 'ENSG00000216123.1')","(0.4714045207910317, 'ENSG00000204801.7')","(0.8009428406336273, 'ENSG00000229522.1')","(0.7745966692414834, 'ENSG00000205363.5')","(1.069579356569675, 'ENSG00000068885.13')"
4,"(0.4472135954999579, 'ENSG00000228477.1')","(0.773329952663334, 'ENSG00000198277.6')","(0.9215239276363633, 'ENSG00000260909.1')","(0.5270462766947299, 'ENSG00000215807.4')","(0.4472135954999579, 'ENSG00000170279.2')","(0.0, 'ENSG00000100083.17')","(0.4264014327112209, 'ENSG00000239143.1')","(1.2205719636167902, 'ENSG00000213442.5')","(0.0, 'ENSG00000277448.1')","(0.8825799501580878, 'ENSG00000273409.1')","(0.42008402520840293, 'ENSG00000061676.13')","(0.7071067811865476, 'ENSG00000273141.1')","(0.0, 'ENSG00000234896.1')","(0.4714045207910317, 'ENSG00000237629.1')","(0.8126360553720011, 'ENSG00000264933.2')","(0.7745966692414834, 'ENSG00000221721.1')","(1.069579356569675, 'ENSG00000270185.1')"
5,"(0.4472135954999579, 'ENSG00000277512.1')","(0.773329952663334, 'ENSG00000230243.1')","(0.927960727138337, 'ENSG00000116852.13')","(0.5270462766947299, 'ENSG00000263414.1')","(0.4472135954999579, 'ENSG00000171603.15')","(0.0, 'ENSG00000101448.12')","(0.4264014327112209, 'ENSG00000239519.1')","(1.225577747972984, 'ENSG00000226781.1')","(0.2, 'ENSG00000026559.12')","(0.8825799501580878, 'ENSG00000280270.1')","(0.42008402520840293, 'ENSG00000103175.9')","(0.7302967433402214, 'ENSG00000260279.2')","(0.0, 'ENSG00000245598.5')","(0.5270462766947299, 'ENSG00000115884.9')","(0.8241633836921342, 'ENSG00000228525.1')","(0.7745966692414834, 'ENSG00000261390.4')","(1.0844353369380766, 'ENSG00000234143.1')"
6,"(0.5, 'ENSG00000077232.15')","(0.773329952663334, 'ENSG00000231053.1')","(0.9407022031018291, 'ENSG00000169026.11')","(0.5270462766947299, 'ENSG00000268235.5')","(0.4472135954999579, 'ENSG00000178715.8')","(0.0, 'ENSG00000105711.9')","(0.4264014327112209, 'ENSG00000252877.1')","(1.2272418054236875, 'ENSG00000254432.1')","(0.2, 'ENSG00000077080.8')","(0.8885233166386386, 'ENSG00000196456.7')","(0.42008402520840293, 'ENSG00000119715.13')","(0.752772652709081, 'ENSG00000198740.7')","(0.0, 'ENSG00000257228.4')","(0.5270462766947299, 'ENSG00000120662.14')","(0.8241633836921342, 'ENSG00000260822.1')","(0.7817359599705717, 'ENSG00000151576.9')","(1.0881176406988355, 'ENSG00000247095.2')"
7,"(0.5, 'ENSG00000140506.15')","(0.773329952663334, 'ENSG00000255790.4')","(0.9428090415820634, 'ENSG00000114956.18')","(0.5527707983925667, 'ENSG00000023892.10')","(0.4472135954999579, 'ENSG00000186854.9')","(0.0, 'ENSG00000112299.7')","(0.4264014327112209, 'ENSG00000254852.7')","(1.228903609577518, 'ENSG00000223861.1')","(0.2, 'ENSG00000100360.13')","(0.8885233166386386, 'ENSG00000273923.1')","(0.42008402520840293, 'ENSG00000131650.12')","(0.752772652709081, 'ENSG00000224982.3')","(0.0, 'ENSG00000264093.1')","(0.5270462766947299, 'ENSG00000132702.11')","(0.8298670045754433, 'ENSG00000112697.14')","(0.7817359599705717, 'ENSG00000252084.1')","(1.1027239001672178, 'ENSG00000132026.12')"
8,"(0.5, 'ENSG00000167110.15')","(0.7796429549831781, 'ENSG00000013364.17')","(0.9428090415820634, 'ENSG00000176919.10')","(0.5527707983925667, 'ENSG00000076662.8')","(0.4472135954999579, 'ENSG00000188766.11')","(0.0, 'ENSG00000129696.11')","(0.4264014327112209, 'ENSG00000277358.1')","(1.2404739054909948, 'ENSG00000101843.17')","(0.2, 'ENSG00000104343.18')","(0.8944271909999159, 'ENSG00000280109.1')","(0.42008402520840293, 'ENSG00000216045.2')","(0.752772652709081, 'ENSG00000233493.3')","(0.0, 'ENSG00000264256.1')","(0.5270462766947299, 'ENSG00000147117.7')","(0.8298670045754433, 'ENSG00000164871.16')","(0.7817359599705717, 'ENSG00000273238.1')","(1.1063453348751464, 'ENSG00000144852.15')"
9,"(0.5, 'ENSG00000223921.1')","(0.7796429549831781, 'ENSG00000081479.11')","(0.944911182523068, 'ENSG00000160310.15')","(0.5527707983925667, 'ENSG00000103512.13')","(0.4472135954999579, 'ENSG00000196576.13')","(0.0, 'ENSG00000130182.6')","(0.4767312946227962, 'ENSG00000105204.12')","(1.2421180068162376, 'ENSG00000002933.6')","(0.2, 'ENSG00000120211.4')","(0.9002923501782483, 'ENSG00000235988.1')","(0.42008402520840293, 'ENSG00000237197.1')","(0.752772652709081, 'ENSG00000234323.4')","(0.0, 'ENSG00000277870.3')","(0.5270462766947299, 'ENSG00000183090.5')","(0.8298670045754433, 'ENSG00000166199.11')","(0.7888106377466155, 'ENSG00000144158.4')","(1.1063453348751464, 'ENSG00000186517.12')"
