,Adrenal gland,Bladder,Breast,Bronchus and lung,Colon,Esophagus,Eye and adnexa,Floor of mouth,"Heart, mediastinum, and pleura",Kidney,Larynx,Liver and intrahepatic bile ducts,"Other and ill-defined sites in lip, oral cavity and pharynx",Other and unspecified parts of tongue,Pancreas,Rectosigmoid junction,Rectum,Skin,Stomach,Testis,Thyroid gland
0,"(161.0547402442477, 'ENSG00000168556.6')","(253.85941967687094, 'ENSG00000200381.1')","(733.3398740808951, 'ENSG00000255909.1')","(532.4896053935447, 'ENSG00000214535.3')","(395.2252715582213, 'ENSG00000147133.14')","(176.1745211736126, 'ENSG00000228982.1')","(108.42382961065914, 'ENSG00000259250.1')","(80.94992682243338, 'ENSG00000261011.1')","(167.74111690057043, 'ENSG00000127452.7')","(506.42699073782285, 'ENSG00000160767.19')","(326.6088596170743, 'ENSG00000157017.14')","(345.5358732141752, 'ENSG00000256660.4')","(361.801475740219, 'ENSG00000248418.2')","(94.49814950731962, 'ENSG00000268204.1')","(138.3541943894735, 'ENSG00000261410.1')","(34.53840784204333, 'ENSG00000110011.12')","(23.943173981523834, 'ENSG00000090924.13')","(883.1701375871942, 'ENSG00000132911.4')","(186.38283533799492, 'ENSG00000204136.9')","(0.5096596136145308, 'ENSG00000227165.6')","(84.70292791343647, 'ENSG00000198574.5')"
1,"(165.84882326717775, 'ENSG00000164100.8')","(258.75967394900067, 'ENSG00000226409.1')","(740.8528129858195, 'ENSG00000204652.6')","(534.3768343712205, 'ENSG00000275977.1')","(403.13767126831794, 'ENSG00000185049.11')","(183.0110754076324, 'ENSG00000233221.5')","(129.1338740295588, 'ENSG00000141068.12')","(85.4965989401631, 'ENSG00000223597.2')","(173.01185059693017, 'ENSG00000197951.7')","(511.40775981792916, 'ENSG00000207242.1')","(352.30603966915066, 'ENSG00000171791.11')","(346.74567459142946, 'ENSG00000207607.2')","(368.2469696789976, 'ENSG00000277817.1')","(150.66742266417307, 'ENSG00000118017.3')","(139.87830332511362, 'ENSG00000120709.9')","(57.67594230968696, 'ENSG00000223396.2')","(32.96099696655932, 'ENSG00000119596.16')","(934.2888239767652, 'ENSG00000222339.1')","(191.44400113234192, 'ENSG00000273521.1')","(2.5248067625561816, 'ENSG00000068024.15')","(88.32776579433856, 'ENSG00000188452.12')"
2,"(166.1213441055112, 'ENSG00000113460.11')","(264.24255375035295, 'ENSG00000184887.12')","(742.9011749027604, 'ENSG00000133597.8')","(539.8659718045915, 'ENSG00000168397.15')","(403.1657737793698, 'ENSG00000235470.4')","(188.5203747459236, 'ENSG00000253551.1')","(133.08884485560765, 'ENSG00000274899.1')","(105.78521410478483, 'ENSG00000122674.10')","(191.40968733871375, 'ENSG00000276318.1')","(511.6241979726698, 'ENSG00000164751.13')","(374.2795089771872, 'ENSG00000136895.17')","(354.541109243753, 'ENSG00000235626.2')","(376.2130439583993, 'ENSG00000233047.4')","(153.02496171630895, 'ENSG00000164741.13')","(142.01530902105995, 'ENSG00000253577.1')","(62.35184933113726, 'ENSG00000267288.2')","(38.995917417398736, 'ENSG00000186318.15')","(936.600571890834, 'ENSG00000258658.1')","(194.1805739562383, 'ENSG00000140832.8')","(2.555605180884413, 'ENSG00000254535.3')","(122.67484046096074, 'ENSG00000258068.1')"
3,"(167.40837869035087, 'ENSG00000274017.1')","(265.72377514987454, 'ENSG00000142676.11')","(768.6453195308655, 'ENSG00000197457.8')","(539.9786436883745, 'ENSG00000229305.1')","(405.5864017005405, 'ENSG00000270325.1')","(190.26136303137713, 'ENSG00000069011.14')","(139.7186973177366, 'ENSG00000198153.8')","(119.17611933871198, 'ENSG00000180230.6')","(195.83133809677162, 'ENSG00000255319.4')","(520.3735988843998, 'ENSG00000207142.1')","(375.1812282480637, 'ENSG00000250850.2')","(365.60076812789924, 'ENSG00000232564.2')","(390.9484875293131, 'ENSG00000105173.12')","(155.89727055280395, 'ENSG00000144306.12')","(142.26737240491119, 'ENSG00000280056.1')","(65.25918853624692, 'ENSG00000257027.1')","(58.204520090977184, 'ENSG00000220773.1')","(949.7629108296073, 'ENSG00000233664.1')","(196.6282667305823, 'ENSG00000281891.1')","(3.2729211087419117, 'ENSG00000189320.7')","(123.18076645519706, 'ENSG00000280264.1')"
4,"(184.65780760481013, 'ENSG00000188985.6')","(266.8834444985089, 'ENSG00000232979.1')","(771.8163243631946, 'ENSG00000226070.1')","(541.5578654925636, 'ENSG00000249409.1')","(408.4112186115851, 'ENSG00000135365.14')","(191.57152681268582, 'ENSG00000214318.3')","(140.3138734156985, 'ENSG00000227983.1')","(119.5578234332918, 'ENSG00000214243.3')","(196.57900105163085, 'ENSG00000235958.4')","(521.5749461938499, 'ENSG00000280953.1')","(378.94781378756073, 'ENSG00000224137.1')","(368.6755268283213, 'ENSG00000279759.1')","(399.1328470879074, 'ENSG00000119681.10')","(157.9780650105051, 'ENSG00000196155.11')","(145.830278576385, 'ENSG00000143032.7')","(65.32129716099048, 'ENSG00000196465.9')","(61.13330863712918, 'ENSG00000111737.10')","(953.5407859263547, 'ENSG00000230614.3')","(197.0989779266867, 'ENSG00000212246.1')","(3.7174167464627317, 'ENSG00000250786.1')","(125.09900211663762, 'ENSG00000229988.1')"
5,"(187.53069911532748, 'ENSG00000166851.13')","(269.60285427979557, 'ENSG00000277125.1')","(772.2973595968228, 'ENSG00000254944.1')","(542.1285724268618, 'ENSG00000067057.15')","(413.4208504289743, 'ENSG00000261646.1')","(196.2235615424521, 'ENSG00000241026.1')","(141.73853569160363, 'ENSG00000251796.1')","(121.23114773711355, 'ENSG00000229288.1')","(198.34221718609174, 'ENSG00000232687.1')","(523.6643804823116, 'ENSG00000234936.1')","(380.8126611710321, 'ENSG00000233710.1')","(369.1143276555083, 'ENSG00000280077.1')","(406.75913346549856, 'ENSG00000260412.1')","(160.41191863137306, 'ENSG00000180096.10')","(150.63661626743513, 'ENSG00000272515.1')","(68.24983743134139, 'ENSG00000160460.14')","(61.15347397932344, 'ENSG00000197150.11')","(956.2576134729653, 'ENSG00000236130.1')","(197.9271537474528, 'ENSG00000131495.7')","(4.039820730460406, 'ENSG00000104833.9')","(128.31033824591555, 'ENSG00000278540.3')"
6,"(194.71492043511265, 'ENSG00000173653.6')","(272.4354723195049, 'ENSG00000235137.2')","(772.5223188225033, 'ENSG00000172590.17')","(542.8041447493397, 'ENSG00000225868.5')","(417.2044383424099, 'ENSG00000261390.4')","(197.27875703568722, 'ENSG00000217555.11')","(142.39247015312705, 'ENSG00000241685.7')","(125.35713391969196, 'ENSG00000266990.1')","(198.93276092137333, 'ENSG00000205632.2')","(527.7236345031343, 'ENSG00000117983.16')","(381.3383328023575, 'ENSG00000262429.1')","(374.4988502492353, 'ENSG00000250511.1')","(408.94754528352877, 'ENSG00000223797.4')","(161.05508644739888, 'ENSG00000128165.8')","(151.28301582031338, 'ENSG00000236471.1')","(69.29411754003063, 'ENSG00000236695.1')","(64.67595460568354, 'ENSG00000160014.15')","(966.3414726612156, 'ENSG00000236158.1')","(198.1894507097118, 'ENSG00000242995.1')","(4.175675675676757, 'ENSG00000269904.2')","(133.93607915338825, 'ENSG00000250254.1')"
7,"(201.09021914409632, 'ENSG00000131591.16')","(273.2159247501565, 'ENSG00000180855.14')","(776.9009687658238, 'ENSG00000279304.1')","(543.3961092536059, 'ENSG00000264950.1')","(419.29015791534874, 'ENSG00000261401.1')","(198.6818015937336, 'ENSG00000063601.15')","(142.60015755147006, 'ENSG00000251155.2')","(125.41595923477938, 'ENSG00000076344.14')","(202.45651932774484, 'ENSG00000137414.5')","(528.1497234127479, 'ENSG00000232271.1')","(382.365959551208, 'ENSG00000213172.3')","(375.84384090101327, 'ENSG00000260368.1')","(415.5789589517869, 'ENSG00000183098.9')","(163.9285717561657, 'ENSG00000198113.2')","(152.7847639705757, 'ENSG00000237154.2')","(72.33813350485586, 'ENSG00000229503.1')","(65.08314098068642, 'ENSG00000164970.13')","(978.0341284412983, 'ENSG00000206531.9')","(198.4668494311372, 'ENSG00000111850.9')","(4.741506421543818, 'ENSG00000169255.12')","(134.22506920703356, 'ENSG00000272240.1')"
8,"(202.4586333028365, 'ENSG00000257271.1')","(273.30294336070875, 'ENSG00000214595.10')","(778.8755539858898, 'ENSG00000202534.1')","(544.0516908979353, 'ENSG00000079819.15')","(419.59107684843707, 'ENSG00000089692.7')","(198.80823397124888, 'ENSG00000281696.1')","(148.3024312380317, 'ENSG00000255144.1')","(126.99021159455735, 'ENSG00000232696.1')","(206.43694038127123, 'ENSG00000179058.6')","(528.3841256585512, 'ENSG00000004399.11')","(384.6975021546962, 'ENSG00000255757.1')","(377.24910233928233, 'ENSG00000207930.1')","(417.60260328833215, 'ENSG00000232684.1')","(164.52216475183715, 'ENSG00000182050.12')","(154.20883515324104, 'ENSG00000254201.1')","(76.13000436117382, 'ENSG00000242732.4')","(66.10036170045247, 'ENSG00000238172.2')","(978.4202218579921, 'ENSG00000248555.5')","(199.04264025487507, 'ENSG00000118596.10')","(6.142870017423775, 'ENSG00000118454.11')","(135.57140363342933, 'ENSG00000066422.4')"
9,"(203.79745991536146, 'ENSG00000196433.10')","(273.89184382761425, 'ENSG00000120664.9')","(778.9550419796428, 'ENSG00000254770.1')","(544.3922540271781, 'ENSG00000265095.1')","(423.76175913051657, 'ENSG00000257426.1')","(201.57761354475525, 'ENSG00000273759.1')","(148.65163167135267, 'ENSG00000145649.7')","(127.35365967778041, 'ENSG00000214089.3')","(207.5423312796131, 'ENSG00000274832.1')","(529.656263153927, 'ENSG00000233825.1')","(385.60970925398226, 'ENSG00000270330.1')","(377.86960426264983, 'ENSG00000258602.1')","(417.9180546044389, 'ENSG00000116514.15')","(167.60371308269802, 'ENSG00000267259.1')","(154.29871519258649, 'ENSG00000246379.5')","(77.78512480242135, 'ENSG00000120910.13')","(68.75089660880492, 'ENSG00000103260.7')","(979.8043820083161, 'ENSG00000251388.1')","(199.55352564296112, 'ENSG00000270779.1')","(6.549487797529082, 'ENSG00000229119.3')","(137.2591560806645, 'ENSG00000215512.8')"
